country_code,region_name,iata,icao,airport,latitude,longitude,country
AF,Kabul,GRG,OAGZ,Gardez Airport,33.63150024,69.23940277,Afghanistan
AF,Kunduz,UND,OAUZ,Kunduz Airport,36.6651001,68.91079712,Afghanistan
AF,Helmand,BST,OABT,Bost Airport,31.55970001,64.36499786,Afghanistan
AF,Kandahar,URZ,OARG,Uruzgan Airport,32.90299988,66.63089752,Afghanistan
AF,Kandahar,TII,OATN,Tarinkot Airport,32.60419846,65.86579895,Afghanistan
AF,Paktika,URN,OAOG,Urgun Airport,32.93180084,69.15630341,Afghanistan
AF,Herat,ZAJ,OAZJ,Zaranj Airport,30.972222,61.865833,Afghanistan
AF,Helmand,OAZ,OAZI,Camp Bastion Air Base,31.86380005,64.22460175,Afghanistan
AF,Balkh,MZR,OAMS,Mazar-e Sharif International Airport,36.70690155,67.20970154,Afghanistan
AF,Badakhshan,KUR,OARZ,Razer Airport,37.75199,-89.015407,Afghanistan
AF,Takhar,TQN,OATQ,Taloqan Airport,36.77069855,69.53199768,Afghanistan
AF,Ghor,CCN,OACC,Chaghcharan Airport,34.526465,65.27102,Afghanistan
AF,Badakhshan,DAZ,OADZ,Darwaz Airport,38.46110153,70.88249969,Afghanistan
AF,Nangarhar,JAA,OAJL,Jalalabad Airport,34.39979935,70.49859619,Afghanistan
AF,Kabul,OAA,OASH,Forward Operating Base Shank,33.9225,69.07722222,Afghanistan
AF,Herat,OAH,OASD,Shindand Air Base,33.3913002,62.26100159,Afghanistan
AF,Parwan,OAI,OAIX,Bagram Airfield,34.94609833,69.26499939,Afghanistan
AF,Paktika,OAS,OASA,Sharana Airstrip / Forward Operating Base Sharana,33.12575,68.838517,Afghanistan
AG,Barbuda,BBQ,TAPH,Barbuda Codrington Airport,17.635799,-61.828602,Antigua and Barbuda
AG,Saint George,ANU,TAPA,V. C. Bird International Airport,17.1367,-61.792702,Antigua and Barbuda
AI,Anguilla,AXA,TQPF,Clayton J. Lloyd International Airport,18.2048,-63.055099,Anguilla
AM,Sirak,LWN,UDSG,Shirak Airport,40.75040054,43.85929871,Armenia
AM,Erevan,EVN,UDYZ,Zvartnots International Airport,40.14730072,44.39590073,Armenia
AO,Moxico,LUO,FNUE,Luena Airport,-11.76809978,19.89769936,Angola
AO,Cunene,VPE,FNGI,Ondjiva Pereira Airport,-17.0435009,15.68379974,Angola
AO,Uige,UGO,FNUG,Uige Airport,-7.603069782,15.02779961,Angola
AO,Malange,KNP,FNCP,Kapanda Airport,-9.769370079,15.4553194,Angola
AO,Bie,SVP,FNKU,Kuito Airport,-12.40460014,16.94739914,Angola
AO,Zaire,ARZ,FNZE,N'zeto Airport,-7.259439945,12.86310005,Angola
AO,Kuando Kubango,CTI,FNCV,Cuito Cuanavale Airport,-15.16030025,19.15609932,Angola
AO,Namibe,MSZ,FNMO,Namibe Airport (Yuri Gagarin Airport),-15.26119995,12.14680004,Angola
AO,Zaire,SZA,FNSO,Soyo Airport,-6.141089916,12.37180042,Angola
AO,Huila,SDD,FNUB,Lubango Mukanka Airport,-14.92469978,13.57499981,Angola
AO,Kwanza Sul,PBN,FNPA,Porto Amboim Airport,-10.72200012,13.76550007,Angola
AO,Moxico,CAV,FNCZ,Cazombo Airport,-11.89309978,22.91640091,Angola
AO,Malange,MEG,FNMA,Malanje Airport,-9.525090218,16.31240082,Angola
AO,Moxico,GGC,,Lumbala N'guimbo Airport,-12.63987732,22.5868206,Angola
AO,Bengo,AZZ,FNAM,Ambriz Airport,-7.86221981,13.11610031,Angola
AO,Lunda Norte,LZM,FNLZ,Cuango-Luzamba Airport,-9.115960121,18.04929924,Angola
AO,Lunda Sul,VHC,FNSA,Henrique de Carvalho Airport,-9.689069748,20.43190002,Angola
AO,Lunda Norte,PGI,FNCH,Chitato Airport,-7.358890057,20.80470085,Angola
AO,Kuando Kubango,DRC,,Dirico Airport,-17.98192406,20.76806068,Angola
AO,Bie,ANL,,Andulo Airport,-11.47229958,16.71089935,Angola
AO,Lunda Norte,DUE,FNDU,Dundo Airport,-7.400889874,20.81850052,Angola
AO,Benguela,LLT,FNLB,Lobito Airport,-12.375729,13.561045,Angola
AO,Benguela,CBT,FNCT,Catumbela Airport,-12.4792,13.4869,Angola
AO,Benguela,NDD,FNSU,Sumbe Airport,-11.16790009,13.84749985,Angola
AO,Kwanza Sul,CEO,FNWK,Waco Kungo Airport,-11.42640018,15.10140038,Angola
AO,Malange,NDF,,N'dalatando Airport,-9.275188446,14.97724247,Angola
AO,Huila,JMB,,Jamba Airport,-14.6981926,16.07014847,Angola
AO,Huambo,NOV,FNHU,Albano Machado Airport,-12.80889988,15.76049995,Angola
AO,Benguela,BUG,FNBG,Benguela Airport (Gen. V. Deslandes Airport),-12.60900021,13.40369987,Angola
AO,Lunda Norte,LBZ,FNLK,Lucapa Airport,-8.445727348,20.73208618,Angola
AO,Bengo,LAD,FNLU,Quatro de Fevereiro Airport,-8.85837,13.2312,Angola
AO,Lunda Norte,NZA,FNZG,Nzagi Airport,-7.716939926,21.35820007,Angola
AO,Cunene,XGN,FNXA,Xangongo Airport,-16.7553997,14.96529961,Angola
AO,Lunda Norte,CFF,FNCF,Cafunfo Airport,-8.783610344,17.98970032,Angola
AO,Cabinda,CAB,FNCA,Cabinda Airport,-5.596990108,12.18840027,Angola
AO,Moxico,UAL,FNUA,Luau Airport,-10.71580029,22.23110008,Angola
AO,Kuando Kubango,SPP,FNME,Menongue Airport,-14.6576004,17.71980095,Angola
AO,Uige,GXG,FNNG,Negage Airport,-7.754509926,15.2876997,Angola
AO,Zaire,SSY,FNBC,Mbanza Congo Airport,-6.269899845,14.24699974,Angola
AO,Moxico,CNZ,,Cangamba Airport,-13.7106,19.861099,Angola
AQ,Antarctica,TNM,SCRM,Teniente R. Marsh Airport,-62.19079971,-58.98669815,Antarctica
AR,Buenos Aires,EPA,SADP,El Palomar Airport,-34.6099,-58.6126,Argentina
AR,San Luis,RLO,SAOS,Valle del Conlara Airport,-32.38470078,-65.18650055,Argentina
AR,Entre Rios,COC,SAAC,Comodoro Pierrestegui Airport,-31.2969,-57.9966,Argentina
AR,Santa Fe,ROS,SAAR,Rosario - Islas Malvinas International Airport,-32.9036,-60.785,Argentina
AR,Chubut,ROY,SAWM,Rio Mayo Airport,-45.70389938,-70.24559784,Argentina
AR,La Pampa,RSA,SAZR,Santa Rosa Airport,-36.588299,-64.275703,Argentina
AR,Santa Cruz,RYO,SAWT,Rio Turbio Airport,-51.605,-72.2203,Argentina
AR,Santa Cruz,RZA,SAWU,Santa Cruz Airport,-50.0165,-68.5792,Argentina
AR,Buenos Aires,AEP,SABE,Jorge Newbery Airpark,-34.5592,-58.4156,Argentina
AR,La Pampa,GPO,SAZG,General Pico Airport,-35.69620132,-63.75830078,Argentina
AR,Corrientes,CNQ,SARC,Doctor Fernando Piragine Niveyro International Airport,-27.4455,-58.7619,Argentina
AR,Misiones,ELO,SATD,Eldorado Airport,-26.39749908,-54.5746994,Argentina
AR,Santiago del Estero,SDE,SANE,Vicecomodoro Angel de la Paz Aragones Airport,-27.76555634,-64.30999756,Argentina
AR,Mendoza,AFA,SAMR,San Rafael Airport,-34.588299,-68.4039,Argentina
AR,Neuquen,HOS,SAHC,Chos Malal Airport,-37.44469833,-70.22250366,Argentina
AR,Neuquen,APZ,SAHZ,Zapala Airport,-38.975498,-70.113602,Argentina
AR,Santa Fe,SFN,SAAV,Sauce Viejo Airport,-31.7117,-60.8117,Argentina
AR,Cordoba,COR,SACO,Ingeniero Aeronautico Ambrosio L.V. Taravella International Airport (Pajas Blancas),-31.323601,-64.208,Argentina
AR,Rio Negro,SGV,SAVS,Sierra Grande Airport,-41.59170151,-65.33940125,Argentina
AR,Corrientes,UZU,SATU,Curuzu Cuatia Airport,-29.7706,-57.9789,Argentina
AR,Salta,SLA,SASA,Martin Miguel de Guemes International Airport,-24.8560009,-65.48619843,Argentina
AR,Rio Negro,MQD,SAVQ,Maquinchao Airport,-41.24309921,-68.70780182,Argentina
AR,Rio Negro,OES,SAVN,Antoine de Saint Exupery Airport,-40.7512,-65.0343,Argentina
AR,Neuquen,CPC,SAZY,Aviador Carlos Campos Airport,-40.075401,-71.137299,Argentina
AR,Salta,TTG,SAST,Tartagal Airport,-22.6196003,-63.79370117,Argentina
AR,Buenos Aires,CSZ,SAZC,Brigadier Hector Eduardo Ruiz Airport,-37.446098,-61.889301,Argentina
AR,Catamarca,CTC,SANC,Coronel Felipe Varela International Airport,-28.59560013,-65.75170136,Argentina
AR,Chubut,OLN,SAVM,Lago Musters Airport,-45.582371,-68.999841,Argentina
AR,Buenos Aires,CPG,,Carmen de Patagones Airport,-40.7781,-62.9803,Argentina
AR,Buenos Aires,SST,SAZL,Santa Teresita Airport,-36.5423,-56.7218,Argentina
AR,Rio Negro,BRC,SAZS,San Carlos de Bariloche Airport,-41.151199,-71.157501,Argentina
AR,Salta,ORA,SASO,Oran Air,-23.15279961,-64.32920074,Argentina
AR,San Juan,UAQ,SANU,Domingo Faustino Sarmiento Airport,-31.571501,-68.418198,Argentina
AR,Chubut,ARR,SAVR,Alto Rio Senguer Airport,-45.013599,-70.812202,Argentina
AR,Buenos Aires,OVR,SAZF,Olavarria Airport,-36.88999939,-60.21659851,Argentina
AR,Corrientes,OYA,SATG,Goya Airport,-29.1058,-59.2189,Argentina
AR,Buenos Aires,OYO,SAZH,Tres Arroyos Airport,-38.3869,-60.3297,Argentina
AR,San Luis,LUQ,SAOU,Brigadier Mayor Cesar Raul Ojeda Airport,-33.27320099,-66.35639954,Argentina
AR,Tucuman,TUC,SANT,Teniente General Benjamin Matienzo International Airport,-26.8409,-65.104897,Argentina
AR,Formosa,CLX,SATC,Clorinda Airport,-25.3036,-57.7344,Argentina
AR,Chubut,EMX,SAVD,El Maiten Airport,-42.02920151,-71.17250061,Argentina
AR,Buenos Aires,PEH,SAZP,Comodoro Pedro Zanni Airport,-35.8446,-61.8576,Argentina
AR,Santa Cruz,PMQ,SAWP,Perito Moreno Airport,-46.537899,-70.978699,Argentina
AR,Chubut,PMY,SAVY,El Tehuelche Airport,-42.7592,-65.1027,Argentina
AR,Santa Cruz,ULA,SAWJ,Capitan Jose Daniel Vazquez Airport,-49.3068,-67.8026,Argentina
AR,Jujuy,JUJ,SASJ,Gobernador Horacio Guzman International Airport,-24.392799,-65.097801,Argentina
AR,Rio Negro,GNR,SAHR,Dr. Arturo Umberto Illia Airport,-39.0007019,-67.62049866,Argentina
AR,Buenos Aires,VLG,SAZV,Villa Gesell Airport,-37.2354,-57.0292,Argentina
AR,Chubut,JSM,SAWS,Jose de San Martin Airport,-44.04859924,-70.45890045,Argentina
AR,Entre Rios,PRA,SAAP,General Justo Jose de Urquiza Airport,-31.7948,-60.4804,Argentina
AR,Buenos Aires,JNI,SAAJ,Junin Airport,-34.5459,-60.9306,Argentina
AR,Entre Rios,GHU,SAAG,Gualeguaychu Airport,-33.0103,-58.6131,Argentina
AR,Tierra del Fuego,USH,SAWH,Ushuaia - Malvinas Argentinas International Airport,-54.8433,-68.2958,Argentina
AR,Chaco,PRQ,SARS,Presidencia Roque Saenz Pena Airport,-26.753611,-60.492222,Argentina
AR,Santa Cruz,GGS,SAWR,Gobernador Gregores Airport,-48.7831,-70.150002,Argentina
AR,Chubut,CRD,SAVC,General Enrique Mosconi International Airport,-45.7853,-67.4655,Argentina
AR,Rio Negro,EHL,SAVB,El Bolson Airport,-41.94319916,-71.53230286,Argentina
AR,Misiones,PSS,SARP,Libertador General Jose de San Martin Airport,-27.3858,-55.9707,Argentina
AR,Buenos Aires,TDL,SAZT,Tandil Airport,-37.23740005,-59.22790146,Argentina
AR,Santa Cruz,PUD,SAWD,Puerto Deseado Airport,-47.7353,-65.9041,Argentina
AR,Santa Fe,RAF,SAFR,Rafaela Airport,-31.2825,-61.5017,Argentina
AR,Santa Cruz,FTE,SAWA,Comandante Armando Tola International Airport,-50.2803,-72.053101,Argentina
AR,Formosa,FMA,SARF,Formosa International Airport (El Pucu Airport),-26.2127,-58.2281,Argentina
AR,San Luis,VME,SAOR,Villa Reynolds Airport,-33.72990036,-65.38739777,Argentina
AR,La Rioja,IRJ,SANL,Capitan Vicente Almandos Almonacid Airport,-29.38159943,-66.79579926,Argentina
AR,Buenos Aires,VGS,,General Villegas Airport,-35.0,-63,Argentina
AR,Buenos Aires,LPG,SADL,La Plata Airport,-34.9722,-57.8947,Argentina
AR,Neuquen,CUT,SAZW,Cutral Co Airport,-38.93970108,-69.26460266,Argentina
AR,Santa Fe,CRR,SANW,Ceres Airport,-29.872292,-61.927925,Argentina
AR,Rio Negro,LMD,,Los Menucos Airport,-40.817699,-68.074699,Argentina
AR,Santa Fe,RCQ,SATR,Reconquista Airport,-29.2103,-59.68,Argentina
AR,Formosa,LLS,SATK,Alferez Armando Rodriguez Airport,-24.72139931,-60.54880142,Argentina
AR,Cordoba,RCU,SAOC,Las Higueras Airport,-33.08509827,-64.26129913,Argentina
AR,Santa Fe,NCJ,SAFS,Sunchales Airport,-30.9575,-61.5283,Argentina
AR,Buenos Aires,MJR,,Miramar Airport,-38.2271,-57.8697,Argentina
AR,Neuquen,RDS,SAHS,Rincon de los Sauces Airport,-37.3905983,-68.90419769,Argentina
AR,Chubut,REL,SAVT,Almirante Marcos A. Zar Airport,-43.2105,-65.2703,Argentina
AR,Cordoba,VDR,SAOD,Villa Dolores Airport,-31.94519997,-65.14630127,Argentina
AR,Corrientes,MCS,SARM,Monte Caseros Airport,-30.2719,-57.6402,Argentina
AR,Buenos Aires,EZE,SAEZ,Ministro Pistarini International Airport,-34.8222,-58.5358,Argentina
AR,Santa Cruz,LHS,SAVH,Las Heras Airport,-46.53829956,-68.96530151,Argentina
AR,Mendoza,LGS,SAMM,Comodoro D. Ricardo Salomon Airport,-35.49359894,-69.57430267,Argentina
AR,Buenos Aires,BHI,SAZB,Comandante Espora Airport,-38.725,-62.1693,Argentina
AR,Buenos Aires,MDQ,SAZM,Astor Piazzolla International Airport,-37.9342,-57.5733,Argentina
AR,Neuquen,LCP,,Loncopue Airport,-38.081902,-70.643898,Argentina
AR,Buenos Aires,BUE,,metropolitan area5,-34.603684,-58.381559,Argentina
AR,Cordoba,LCM,SACC,La Cumbre Airport,-31.00580025,-64.5318985,Argentina
AR,Chaco,RES,SARE,Resistencia International Airport,-27.45,-59.0561,Argentina
AR,Neuquen,NQN,SAZN,Presidente Peron International Air,-38.949001,-68.155701,Argentina
AR,Corrientes,MDX,SATM,Mercedes Airport,-29.22139931,-58.08779907,Argentina
AR,Neuquen,CVH,,Caviahue Airport,-37.851398,-71.009201,Argentina
AR,Santa Cruz,CVI,,Caleta Olivia Airport,-46.43180084,-67.51860046,Argentina
AR,Rio Negro,VDM,SAVV,Gobernador Edgardo Castello Airport,-40.8692,-63.0004,Argentina
AR,Tierra del Fuego,RGA,SAWE,Hermes Quijada International Airport,-53.7777,-67.7494,Argentina
AR,Santa Cruz,RGL,SAWG,Piloto Civil Norberto Fernandez International Airport,-51.6089,-69.3126,Argentina
AR,Chubut,EQS,SAVE,Esquel Airport,-42.90800095,-71.13950348,Argentina
AR,Mendoza,MDZ,SAME,Gov. Francisco Gabrielli International Airport (El Plumerillo),-32.83169937,-68.79290009,Argentina
AR,Santiago del Estero,RHD,SANR,Termas de Rio Hondo Airport,-27.4966,-64.93595,Argentina
AR,Corrientes,AOL,SARL,Paso de los Libres Airport,-29.6894,-57.1521,Argentina
AR,Misiones,IGR,SARI,Cataratas del Iguazu International Airport,-25.737301,-54.4734,Argentina
AR,Chaco,CNT,,Charata Airport,-27.2164,-61.2103,Argentina
AR,Rio Negro,CCT,,Colonia Catriel Airport,-37.91019821,-67.83499908,Argentina
AR,Rio Negro,VCF,,Valcheta Airport,-40.70000076,-66.15000153,Argentina
AR,Rio Negro,IGB,SAVJ,Ingeniero Jacobacci Airport (Capitan FAA H. R. Borden Airport),-41.32089996,-69.57489777,Argentina
AR,Buenos Aires,NEC,SAZO,Necochea Airport,-38.4831,-58.8172,Argentina
AS,Eastern District,PPG,NSTU,Pago Pago International Airport,-14.33100033,-170.7100067,American Samoa
AS,Eastern District,TAV,,Tau Airport,-14.22920036,-169.5110016,American Samoa
AS,Eastern District,OFU,NSAS,Ofu Airport,-14.1844,-169.669998,American Samoa
AT,Oberosterreich,LNZ,LOWL,Linz Airport (Blue Danube Airport),48.2332,14.1875,Austria
AT,Salzburg,SZG,LOWS,Salzburg Airport,47.79330063,13.00430012,Austria
AT,Karnten,KLU,LOWK,Klagenfurt Airport,46.642502,14.3377,Austria
AT,Steiermark,GRZ,LOWG,Graz Airport,46.99110031,15.43959999,Austria
AT,Tirol,INN,LOWI,Innsbruck Airport (Kranebitten Airport),47.260201,11.344,Austria
AT,Niederosterreich,VIE,LOWW,Vienna International Airport,48.11029816,16.56970024,Austria
AT,Vorarlberg,HOH,LOIH,Hohenems-Dornbirn Airport,47.384998,9.7,Austria
AU,Queensland,PHQ,YTMO,The Monument Airport,-21.81110001,139.923996,Australia
AU,Western Australia,CBC,,Cherrabun Airport,-18.91777778,125.5377778,Australia
AU,Northern Territory,MSF,YMNS,Mount Swan Airport,-22.624696,135.034512,Australia
AU,Queensland,AAB,YARY,Arrabury Airport,-26.693023,141.047771,Australia
AU,Queensland,XTO,YTAM,Taroom Airport,-25.80170059,149.8999939,Australia
AU,Western Australia,MXU,YMWA,Mullewa Airport,-28.47500038,115.5169983,Australia
AU,South Australia,CED,YCDU,Ceduna Airport,-32.13059998,133.7100067,Australia
AU,Queensland,RSB,,Roseberth Airport,-25.83329964,139.6499939,Australia
AU,Queensland,HVB,YHBA,Hervey Bay Airport,-25.31889915,152.8800049,Australia
AU,Northern Territory,RRV,,Robinson River Airport,-16.71829987,136.9450073,Australia
AU,South Australia,RRE,,Marree Airport,-29.66329956,138.0650024,Australia
AU,Western Australia,DCN,YCIN,RAAF Base Curtin,-17.58139992,123.8280029,Australia
AU,Northern Territory,RPV,,Roper Valley Airport,-14.9215,134.05,Australia
AU,Queensland,XTG,YTGM,Thargomindah Airport,-27.9864006,143.8110046,Australia
AU,South Australia,HWK,YHAW,Wilpena Pound Airport,-31.85590744,138.4680786,Australia
AU,Queensland,MXD,YMWX,Marion Downs Airport,-23.363702,139.649663,Australia
AU,Northern Territory,RPM,YNGU,Ngukurr Airport,-14.72280025,134.746994,Australia
AU,New South Wales,HXX,YHAY,Hay Airport,-34.53139877,144.8300018,Australia
AU,Queensland,DDN,YDLT,Delta Downs Airport,-16.99169922,141.3170013,Australia
AU,New South Wales,CES,YCNK,Cessnock Airport,-32.787498,151.341995,Australia
AU,Northern Territory,RPB,YRRB,Roper Bar Airport,-14.734814,134.525485,Australia
AU,Queensland,ROK,YBRK,Rockhampton Airport,-23.38190079,150.4750061,Australia
AU,Queensland,ROH,YROB,Robinhood Airport,-18.84499931,143.7100067,Australia
AU,Queensland,MWY,YMIR,Miranda Downs Airport,-17.328899,141.886002,Australia
AU,Queensland,LRE,YLRE,Longreach Airport,-23.43420029,144.2799988,Australia
AU,South Australia,RMK,YREN,Renmark Airport,-34.19639969,140.673996,Australia
AU,Queensland,RMA,YROM,Roma Airport,-26.54500008,148.7749939,Australia
AU,South Australia,MWT,YMWT,Moolawatana Airport,-29.9069,139.765,Australia
AU,Queensland,RLP,,Rosella Plains Airport,-18.4253,144.4587,Australia
AU,Queensland,ABG,YABI,Abingdon Airport,-17.61669922,143.1670074,Australia
AU,Queensland,ABH,YAPH,Alpha Airport,-23.646099,146.584,Australia
AU,New South Wales,XRH,YSRI,RAAF Base Richmond,-33.600601,150.781006,Australia
AU,Queensland,RKY,,Rokeby Airport,-13.6434,142.641,Australia
AU,South Australia,IDK,YIDK,Indulkana Airport,-26.9666996,133.3249969,Australia
AU,Western Australia,MWB,YMRW,Morawa Airport,-29.20170021,116.0220032,Australia
AU,Queensland,ABM,YNPE,Northern Peninsula Airport,-10.9508,142.459,Australia
AU,Queensland,IFF,YIFY,Iffley Airport,-18.89999962,141.2169952,Australia
AU,Queensland,IFL,YIFL,Innisfail Airport,-17.55940056,146.0119934,Australia
AU,Queensland,IGH,YIGM,Ingham Airport,-18.66060066,146.1519928,Australia
AU,New South Wales,BHQ,YBHI,Broken Hill Airport,-32.00139999,141.4720001,Australia
AU,Western Australia,ZNE,YNWN,Newman Airport,-23.4178009,119.8030014,Australia
AU,New South Wales,BHS,YBTH,Bathurst Airport,-33.40940094,149.6519928,Australia
AU,Queensland,BHT,,Brighton Downs Airport,-23.36388889,141.5627778,Australia
AU,South Australia,CFH,,Clifton Hills Airport,-27.0182991,138.8919983,Australia
AU,Northern Territory,CFI,YCFD,Camfield Airport,-17.02169991,131.3269958,Australia
AU,New South Wales,ABX,YMAY,Albury Airport,-36.06779861,146.9579926,Australia
AU,Queensland,MVU,YMGV,Musgrave Airport,-14.7757,143.5047,Australia
AU,Western Australia,RHL,YRYH,Roy Hill Station Airport,-22.62581589,119.9590302,Australia
AU,Queensland,IKP,YIKM,Inkerman Airport,-16.27499962,141.4420013,Australia
AU,Queensland,INJ,YINJ,Injune Airport,-25.851,148.5497,Australia
AU,Queensland,CFP,,Carpentaria Downs Airport,-18.7166996,144.3170013,Australia
AU,South Australia,RCN,,American River Airport,-35.7574,137.7759,Australia
AU,Queensland,DFP,,Drumduff Airport,-16.0529995,143.0119934,Australia
AU,New South Wales,CFS,YCFS,Coffs Harbour Airport,-30.32060051,153.1159973,Australia
AU,Queensland,RCM,YRMD,Richmond Airport,-20.70190048,143.1150055,Australia
AU,South Australia,INM,YINN,Innamincka Airport,-27.70000076,140.7330017,Australia
AU,Western Australia,RBU,YROE,Roebourne Airport,-20.76169968,117.1569977,Australia
AU,Western Australia,DGD,YDGA,Dalgaranga Airport,-27.83027778,117.3163889,Australia
AU,New South Wales,DGE,YMDG,Mudgee Airport,-32.5625,149.6109924,Australia
AU,Victoria,RBS,YORB,Orbost Airport,-37.79000092,148.6100006,Australia
AU,Victoria,RBC,YROI,Robinvale Airport,-34.65000153,142.7830048,Australia
AU,South Australia,MVK,YMUK,Mulka Airport,-28.3477993,138.6499939,Australia
AU,New South Wales,MVH,,Macksville Airport,-30.7,152.917,Australia
AU,Queensland,IRG,YLHR,Lockhart River Airport,-12.7869,143.304993,Australia
AU,Queensland,XMY,YYMI,Yam Island Airport,-9.901109695,142.776001,Australia
AU,Queensland,BIP,,Bulimba Airport,-16.88080025,143.4790039,Australia
AU,Northern Territory,RAM,YRNG,Ramingining Airport,-12.35639954,134.897995,Australia
AU,Queensland,ISA,YBMA,Mount Isa Airport,-20.66390038,139.4889984,Australia
AU,Queensland,ISI,YISF,Isisford Airport,-24.25830078,144.4250031,Australia
AU,South Australia,XML,YMIN,Minlaton Airport,-34.75,137.5330048,Australia
AU,New South Wales,IVR,YIVL,Inverell Airport,-29.88829994,151.1439972,Australia
AU,Western Australia,YNN,,Yandicoogina Airport,59.4875,-97.780278,Australia
AU,Western Australia,BIW,,Billiluna Airport,-19.56669998,127.6669998,Australia
AU,Victoria,XMC,YMCO,Mallacoota Airport,-37.59830093,149.7200012,Australia
AU,Northern Territory,IVW,YINW,Inverway Airport,-17.84110069,129.6430054,Australia
AU,Tasmania,LST,YMLT,Launceston Airport,-41.54529953,147.2140045,Australia
AU,South Australia,PXH,YPMH,Prominent Hill Airport,-29.716,135.5244,Australia
AU,Queensland,DHD,YDRH,Durham Downs Airport,-27.07500076,141.8999939,Australia
AU,South Australia,ADL,YPAD,Adelaide Airport,-34.945,138.531006,Australia
AU,Northern Territory,JAB,YJAB,Jabiru Airport,-12.6583004,132.8930054,Australia
AU,Western Australia,JAD,YPJT,Jandakot Airport,-32.09749985,115.8809967,Australia
AU,South Australia,ADO,YAMK,Andamooka Airport,-30.438299,137.136993,Australia
AU,New South Wales,LSY,YLIS,Lismore Airport,-28.83029938,153.2599945,Australia
AU,Western Australia,CGV,YCAG,Caiguna Airport,-32.26499939,125.4929962,Australia
AU,Queensland,JCK,YJLC,Julia Creek Airport,-20.66830063,141.7230072,Australia
AU,Tasmania,LTB,,Latrobe Airport,-41.23518803,146.3961697,Australia
AU,Western Australia,MUQ,YMUC,Muccan Station Airport,-20.65889931,120.0670013,Australia
AU,Queensland,ZGL,YSGW,South Galway Airport,-25.68330002,142.1080017,Australia
AU,Northern Territory,MUP,YMUP,Mulga Park Airport,-25.86000061,131.6499939,Australia
AU,South Australia,PUG,YPAG,Port Augusta Airport,-32.50690079,137.7169952,Australia
AU,Victoria,PTJ,YPOD,Portland Airport,-38.31809998,141.470993,Australia
AU,Western Australia,PRD,YPDO,Pardoo Airport,-20.11750031,119.5899963,Australia
AU,New South Wales,PQQ,YPMQ,Port Macquarie Airport,-31.43580055,152.8630066,Australia
